Cage,Sex,day01,day02,day03,day04,day05,day06,day07,day08,day09,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31,day32,day33,day34,day35,day36,day37,day38,day39,day40,day41,day42,day43,day44,day45,day46,day47,day48,day49,day50,day51,day52,day53,day54,day55,day56,day67,day58,day59,day60,Notes
EB1 (?),F,0,1,0,3,1,3,2,2,0,1,2,2,3,5,3,4,1,2,2,2,4,3,2,5,3,9,22,18,14,23,20,26,12,0,23,32,14,35,24,19,11,14,18,13,5,10,11,3,6,11,3,1,3,3,0,0,0,0,0,0,
EB2 (?),M,0,0,1,0,2,2,1,0,0,1,6,0,0,0,1,0,0,2,2,2,3,8,7,16,15,16,25,21,27,23,30,9,15,0,16,15,9,25,6,10,1,5,9,2,2,3,4,1,0,1,0,0,1,2,1,2,0,0,0,0,dead on 7/4
EB2 (?),F,1,0,0,0,0,2,1,1,0,3,1,2,0,2,2,0,0,0,0,2,1,3,1,1,2,1,5,4,6,7,2,2,1,0,21,9,10,35,20,22,11,22,16,20,4,42,16,16,10,18,10,8,7,9,11,6,5,0,0,0,
EB3 (?),M,0,1,0,0,0,1,1,1,1,3,0,0,0,0,0,3,0,2,2,2,1,4,5,14,13,24,38,31,17,30,60,16,27,0,23,16,16,14,5,12,3,5,8,0,1,4,2,2,1,0,0,1,1,2,0,2,0,2,0,0,dead on 7/6
EB3 (?),F,0,0,0,0,0,0,0,0,0,1,3,1,1,2,0,2,1,0,1,2,2,0,4,1,1,8,3,9,8,7,20,20,26,0,28,27,9,33,18,31,8,18,25,10,9,17,27,11,3,5,9,9,1,7,3,2,1,4,0,0,
EB4 (?),M,1,2,1,0,0,0,0,0,0,2,2,2,1,4,3,6,3,6,13,12,6,22,30,46,15,31,28,32,13,37,21,22,8,0,18,9,7,5,9,4,7,7,5,2,1,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,dead on 6/26
EB4 (?),F,2,1,0,0,1,4,0,0,0,2,3,4,2,5,15,11,7,13,14,13,5,16,21,18,8,20,29,39,2,30,15,11,9,0,22,12,9,21,20,5,5,8,11,9,3,6,6,6,0,2,1,3,0,0,0,0,0,0,0,0,
EB5 (?),M,0,2,1,0,1,1,0,0,1,2,4,3,4,1,2,3,0,3,2,1,2,8,4,9,9,21,16,28,10,18,29,56,15,0,51,35,41,16,17,15,11,13,14,11,6,8,4,2,2,5,4,1,0,1,0,0,0,1,0,0,dead on 7/8
EB5 (?),F,0,1,3,4,0,3,1,1,2,4,7,4,7,2,3,2,0,4,3,1,1,6,2,5,2,6,9,12,5,11,8,35,7,0,22,20,12,37,32,24,13,35,20,36,13,16,29,12,12,11,28,5,2,2,2,1,0,1,3,0,
EBO1 (?),M,2,0,2,0,0,1,1,1,0,3,2,0,1,0,0,1,0,0,2,4,3,6,8,6,12,16,42,29,29,58,26,17,17,0,32,8,0,13,23,20,6,5,1,2,4,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,dead on 7/8
EBO1 (?),F,0,0,0,0,1,2,0,0,0,1,2,1,1,1,0,0,2,2,0,0,2,1,2,2,3,4,6,6,9,18,7,10,16,0,26,11,0,15,14,34,12,19,20,18,10,15,10,11,3,14,9,2,3,0,3,4,4,2,3,0,
EBO2 (?),M,1,2,0,0,0,1,0,2,1,0,2,0,2,1,2,2,0,3,4,1,3,4,14,12,14,38,43,24,17,25,15,20,23,0,18,17,5,12,13,11,3,9,3,2,1,5,3,1,0,0,0,0,0,0,1,0,0,0,0,0,dead on 7/1
EBO2 (?),F,0,0,0,0,1,1,0,0,0,1,3,1,1,4,6,1,4,0,5,1,2,3,2,7,3,14,10,19,4,9,10,11,9,0,18,10,12,23,18,14,6,27,23,8,5,32,3,10,11,9,11,6,0,2,4,0,0,0,0,0,
EBO3 (?),M,0,1,1,2,2,0,1,0,0,2,0,0,0,0,0,2,0,3,1,0,5,4,8,8,6,16,16,22,27,34,30,61,14,0,29,14,8,26,20,10,6,9,5,10,3,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,dead on 7/1
EBO3 (?),F,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,1,0,5,2,1,4,2,1,5,13,7,11,10,18,19,11,0,16,11,6,22,18,24,4,11,22,36,10,32,25,19,3,21,12,14,2,4,2,0,0,0,0,0,
EBO4 (?),M,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,1,6,1,3,8,15,13,25,29,37,14,28,56,48,15,0,21,16,10,18,21,10,9,2,3,1,1,2,2,1,0,4,2,0,1,0,0,0,0,0,0,0,dead on 7/1
EBO4 (?),F,0,0,2,0,0,0,1,0,0,1,1,2,0,1,0,2,3,0,1,3,2,9,9,8,7,9,11,16,5,10,28,32,9,0,32,22,5,22,36,16,16,17,16,17,5,11,21,12,6,14,10,3,1,1,4,0,0,0,0,0,
EBO5 (?),M,0,1,1,0,1,0,1,0,0,2,2,4,2,6,8,13,6,21,14,31,16,17,15,25,15,30,20,22,19,20,12,24,5,0,11,7,4,8,8,7,0,2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,dead on 6/20
EBO5 (?),F,1,4,2,1,0,2,4,2,4,3,3,5,0,5,8,8,6,20,3,14,9,17,14,15,8,16,12,20,13,20,18,27,3,0,20,15,11,15,16,15,0,1,11,4,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,

